id,walk_len,walk_gazex_std,walk_gazey_std,walk_posx_mean,walk_posx_std,walk_posx_speed,walk_posy_mean,walk_posy_std,walk_posy_speed,walk_head_speed,walk_eyex_mean,walk_eyex_std,walk_eyex_speed,walk_eyey_mean,walk_eyey_std,walk_eyey_speed,walk_eye_speed,walk_eyexpos_corr,walk_eyeypos_corr,walk_bothcent,walk_eyecent,walk_headcent,walk_nocent_samedir,walk_nocent_oppdir,walk_path_total,walk_path_speed,walk_path_speed_sd,walk_straightness,walk_eyexspeed_corr,walk_headxspeed_corr,walk_gazexspeed_corr,search_len,search_gazex_std,search_gazey_std,search_posx_mean,search_posx_std,search_posx_speed,search_posy_mean,search_posy_std,search_posy_speed,search_head_speed,search_eyex_mean,search_eyex_std,search_eyex_speed,search_eyey_mean,search_eyey_std,search_eyey_speed,search_eye_speed,search_eyexpos_corr,search_eyeypos_corr,search_bothcent,search_eyecent,search_headcent,search_nocent_samedir,search_nocent_oppdir,search_path_total,search_path_speed,search_path_speed_sd,search_straightness,search_eyexspeed_corr,search_headxspeed_corr,search_gazexspeed_corr,
103,8023,15.5814,11.9732,8.6911,6.1267,0.47016,4.1927,5.2717,0.4602,0.73548,-0.79808,11.4808,1.7856,-9.1872,8.5854,1.171,2.329,0.52021,0.47678,0.79421,0.038711,0.11512,0.049647,0.0023025,315.1412,1.1784,0.15728,1.3662,-0.17286,-0.16986,-0.21507,20152,21.7167,11.4963,5.5909,10.2604,0.3366,5.109,6.1659,0.27975,0.49373,-1.0374,14.7658,1.2515,-6.3146,8.5459,0.81954,1.6107,0.48833,0.19722,0.60521,0.094066,0.23691,0.062572,0.0012493,367.9581,0.54777,0.56357,2.0157,-0.10476,0.073603,-0.040697,
104,7092,29.372,18.8811,9.2468,20.4751,1.2931,-1.5742,12.2144,0.69328,1.5965,-4.6948,11.3377,1.3746,-6.0573,9.9006,1.0716,1.954,0.63764,0.47249,0.47272,0.32367,0.090148,0.098071,0.015398,328.0324,1.3876,0.24984,1.3359,-0.048822,0.064678,0.022616,21344,30.4992,17.3218,2.8472,23.6712,0.71103,1.0494,10.1599,0.38629,0.88373,-5.0241,12.8179,1.151,-5.6808,11.5682,0.84974,1.5808,0.33628,0.26882,0.42697,0.36853,0.10191,0.093605,0.0089838,466.4539,0.65562,0.58113,2.0774,-0.10977,0.28263,0.20399,
200,8606,26.364,18.1747,-1.3281,15.954,0.88678,-4.8469,9.6712,0.64011,1.2129,0.1688,12.8603,2.3846,-7.7259,11.3751,1.4329,3.059,0.55287,0.50789,0.65243,0.13705,0.08988,0.11458,0.0060558,324.8559,1.1324,0.23351,1.4265,0.12414,0.22782,0.20895,22818,30.4066,15.763,-5.5985,18.9747,0.53412,-8.0272,7.752,0.33253,0.69751,-2.0718,15.7483,1.2789,-7.561,11.4591,0.82378,1.662,0.53828,0.33647,0.51156,0.18128,0.14558,0.15676,0.0048174,404.0559,0.53123,0.49643,3.2515,-0.038653,0.20517,0.13431,
201,9448,18.6583,8.2038,4.9698,8.5368,0.75974,-1.9609,3.645,0.51905,1.0293,-1.5788,15.1503,3.6087,-17.9171,7.2951,1.3791,4.041,0.17238,0.0076129,0.68152,0.048833,0.23522,0.026951,0.0074716,321.862,1.022,0.13277,1.3738,0.076557,-0.056284,0.0044527,28159,29.1984,12.7073,4.0539,19.1093,0.61334,2.8117,7.2337,0.38418,0.8043,-1.4064,15.3993,1.9849,-9.9304,8.6187,0.91627,2.3251,0.40699,0.27298,0.43972,0.24886,0.17744,0.12346,0.010514,636.0031,0.67758,0.4908,2.7907,-0.039065,0.063743,0.080772,
202,8412,33.2335,15.0595,1.0237,19.8356,0.77078,-14.3524,8.8839,0.62309,1.1026,-1.2014,15.7481,2.2211,-0.42134,9.794,1.2084,2.7317,0.63006,0.32856,0.51974,0.16875,0.10156,0.19531,0.014631,314.5966,1.122,0.18917,1.3287,-0.00881,-0.11468,-0.08253,24229,28.8831,14.5513,1.583,18.4311,0.49783,-7.1222,9.4335,0.37325,0.69308,-1.1119,15.1989,1.4029,-1.2197,9.7537,0.77978,1.7415,0.42918,0.14516,0.51849,0.2057,0.14145,0.12573,0.0086332,527.5486,0.6532,0.58066,1.885,-0.010299,0.26522,0.17069,
203,10230,21.0616,11.6104,1.5335,13.4007,0.71469,6.8656,6.8623,0.55456,1.0203,-0.46383,10.5824,1.605,-11.5315,8.5844,1.0393,2.1598,0.53534,0.1388,0.78958,0.073111,0.050722,0.07778,0.0088073,339.1119,0.99446,0.29686,1.4019,-0.094893,-0.14377,-0.14623,28196,23.8345,14.6872,-2.9271,17.0622,0.56261,6.7159,7.0071,0.39116,0.77017,-0.94941,13.4071,1.2824,-15.6597,12.216,0.92431,1.7886,0.48273,0.16115,0.70021,0.090904,0.11422,0.08799,0.006685,567.3137,0.60361,0.46608,2.3407,-0.096987,0.16823,0.024656,
204,8111,13.5587,11.9109,2.3931,7.3447,0.51436,2.8479,4.3102,0.44886,0.75214,-1.7764,8.8202,1.0469,-6.9255,9.5463,0.88212,1.4947,0.3979,0.39046,0.89225,0.028782,0.060818,0.018145,0,321.5677,1.1894,0.19931,1.384,-0.073002,-0.037144,-0.049389,25390,25.8812,11.0328,-4.4271,16.391,0.40579,1.7266,5.3242,0.30747,0.56751,-4.0749,13.5163,0.82519,-6.6217,8.6349,0.60372,1.1205,0.4911,0.20409,0.60734,0.13585,0.15034,0.10115,0.0053196,485.3434,0.57347,0.58019,2.7127,-0.26338,0.016348,-0.16264,
205,8685,20.7317,19.1776,4.5194,12.8053,0.78387,0.52187,11.8278,0.65362,1.1407,-2.5326,9.9253,1.1598,-6.745,9.7456,1.0459,1.7528,0.62161,0.56925,0.73021,0.13605,0.056151,0.07637,0.001218,317.0134,1.095,0.14438,1.3462,-0.0011848,-0.077843,-0.070989,24900,28.4448,16.6988,-2.8552,20.1948,0.55145,-1.1302,9.9058,0.37125,0.74559,-4.1177,12.4668,0.94782,-7.9489,10.3909,0.72036,1.3217,0.47574,0.37091,0.49207,0.28195,0.11147,0.1078,0.0067015,544.1314,0.65558,0.5475,2.8442,-0.12773,0.27071,0.13632,
206,9616,22.376,8.2795,12.1788,15.2159,0.95287,2.6476,7.8816,0.66522,1.2768,-2.5753,10.805,1.5918,-11.7107,6.3667,0.92301,1.9837,0.41341,-0.34861,0.58957,0.25435,0.073233,0.056083,0.026767,322.1961,1.0052,0.15085,1.3538,-0.00089592,-0.14084,-0.097089,32952,30.9078,10.4012,5.7102,23.4186,0.83576,-0.43544,9.5635,0.46801,1.0433,-4.423,11.9152,1.3047,-7.937,7.9095,0.74602,1.6145,0.49035,-0.30481,0.44287,0.32229,0.10877,0.11376,0.012309,606.3382,0.55202,0.44325,2.9435,-0.10896,0.16371,0.10065,
208,8411,23.8094,13.5543,11.9578,16.0283,0.80586,-0.82627,9.5853,0.64947,1.1599,-2.3441,11.2105,1.6362,-6.1094,7.2175,0.88168,2.0277,0.51018,0.29666,0.49952,0.34329,0.053688,0.081016,0.022491,323.0393,1.1522,0.30889,1.3709,-0.037555,-0.10836,-0.082767,20245,30.6424,17.1761,14.0503,22.0359,0.70235,5.6648,10.1839,0.45325,0.9303,-4.832,14.296,1.1766,-2.07,11.3248,0.77208,1.553,0.39556,0.27404,0.32403,0.37781,0.16104,0.095076,0.042045,338.7944,0.50204,0.47166,3.2454,-0.22898,0.15069,0.083866,
